offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
116.0 to 116.875,"[0, 7, 9]","['A5', 'C3', 'C4', 'C5', 'G5']","[3, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
117.0 to 117.875,"[0, 2, 5, 7]","['C5', 'D3', 'D4', 'F5', 'G5']","[1, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
118.0 to 118.875,"[4, 5, 7, 11]","['B4', 'E5', 'F5', 'G2', 'G3', 'G5']","[0, 0, 0, 0, 1, 1, 0, 3, 0, 0, 0, 1]"
119.0 to 119.0,"[0, 4]","['C3', 'C4', 'C5', 'E5']","[3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
120.0 to 120.0,[0],"['C3', 'C4']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
122.0 to 122.875,"[0, 2, 4, 5, 7, 11]","['B3', 'C4', 'D4', 'E4', 'F4', 'G3']","[1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1]"
123.0 to 123.875,"[0, 2, 4, 5]","['C3', 'C4', 'D4', 'E4', 'F4']","[2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
124.0 to 124.5,"[4, 5, 7, 9]","['A4', 'E4', 'F4', 'G4']","[0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]"
125.0 to 125.0,"[4, 7]","['E4', 'G4']","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
126.0 to 126.875,"[0, 4, 7, 8]","['C4', 'E4', 'G#4', 'G4']","[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]"
127.0 to 127.875,"[4, 5, 7, 9]","['A4', 'E4', 'F3', 'F4', 'G4']","[0, 0, 0, 0, 1, 2, 0, 1, 0, 1, 0, 0]"
128.0 to 128.875,"[0, 2, 4, 5]","['C4', 'D4', 'E4', 'F3', 'F4']","[1, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0]"
129.0 to 129.875,"[0, 4, 7]","['C4', 'E4', 'G3']","[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
130.0 to 130.0,"[2, 11]","['B3', 'D3', 'D4']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
131.0 to 131.0,[7],['G2'],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
132.0 to 132.25,"[6, 7]","['F#5', 'G5']","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
