offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence,octScalePitch,offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
15.875,<music21.chord.Chord C4 E4>,"[0, 4]","[0, 4]","[0, 4]",64,60,String Quartet Op1 No6 ii C major.mid,Haydn,0,major,"[0, 4]_0",0.934804851,"['C4', 'E4']",15.0 to 15.875,"[0, 2, 4, 5]","['C3', 'C4', 'D4', 'E4', 'F4']","[2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
16.0,<music21.chord.Chord F4 A4>,"[0, 4]","[5, 9]","[5, 9]",69,65,String Quartet Op1 No6 ii C major.mid,Haydn,0,major,"[5, 9]_5",0.934804851,"['F4', 'A4']",16.0 to 16.5,"[4, 5, 7, 9]","['A4', 'E4', 'F4', 'G4']","[0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]"
16.5,<music21.chord.Chord E4 G4>,"[0, 3]","[4, 7]","[4, 7]",67,64,String Quartet Op1 No6 ii C major.mid,Haydn,0,major,"[4, 7]_4",0.934804851,"['E4', 'G4']",16.0 to 16.5,"[4, 5, 7, 9]","['A4', 'E4', 'F4', 'G4']","[0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]"
17.0,<music21.chord.Chord E4 G4>,"[0, 3]","[4, 7]","[4, 7]",67,64,String Quartet Op1 No6 ii C major.mid,Haydn,0,major,"[4, 7]_4",0.934804851,"['E4', 'G4']",17.0 to 17.0,"[4, 7]","['E4', 'G4']","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
18.0,<music21.chord.Chord E4 G4 C4>,"[0, 4, 7]","[0, 4, 7]","[0, 4, 7]",67,60,String Quartet Op1 No6 ii C major.mid,Haydn,0,major,"[0, 4, 7]_0",0.9388920590000001,"['E4', 'G4', 'C4']",18.0 to 18.875,"[0, 4, 7, 8]","['C4', 'E4', 'G#4', 'G4']","[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]"
18.75,<music21.chord.Chord E4 G#4 C4>,"[0, 4, 8]","[0, 4, 8]","[0, 4, 8]",68,60,String Quartet Op1 No6 ii C major.mid,Haydn,0,major,"[0, 4, 8]_0",0.9388920590000001,"['E4', 'G#4', 'C4']",18.0 to 18.875,"[0, 4, 7, 8]","['C4', 'E4', 'G#4', 'G4']","[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]"
18.875,<music21.chord.Chord G#4>,[0],[8],[8],68,68,String Quartet Op1 No6 ii C major.mid,Haydn,0,major,[8]_8,0.9388920590000001,['G#4'],18.0 to 18.875,"[0, 4, 7, 8]","['C4', 'E4', 'G#4', 'G4']","[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]"
19.0,<music21.chord.Chord F4 A4 F3>,"[0, 4]","[5, 9]","[5, 9]",69,53,String Quartet Op1 No6 ii C major.mid,Haydn,0,major,"[5, 9]_5",0.9388920590000001,"['F4', 'A4', 'F3']",19.0 to 19.875,"[4, 5, 7, 9]","['A4', 'E4', 'F3', 'F4', 'G4']","[0, 0, 0, 0, 1, 2, 0, 1, 0, 1, 0, 0]"
19.75,<music21.chord.Chord E4 G4 F3>,"[0, 1, 3]","[4, 5, 7]","[4, 5, 7]",67,53,String Quartet Op1 No6 ii C major.mid,Haydn,0,major,"[4, 5, 7]_5",0.9388920590000001,"['E4', 'G4', 'F3']",19.0 to 19.875,"[4, 5, 7, 9]","['A4', 'E4', 'F3', 'F4', 'G4']","[0, 0, 0, 0, 1, 2, 0, 1, 0, 1, 0, 0]"
19.875,<music21.chord.Chord E4 G4>,"[0, 3]","[4, 7]","[4, 7]",67,64,String Quartet Op1 No6 ii C major.mid,Haydn,0,major,"[4, 7]_4",0.9388920590000001,"['E4', 'G4']",19.0 to 19.875,"[4, 5, 7, 9]","['A4', 'E4', 'F3', 'F4', 'G4']","[0, 0, 0, 0, 1, 2, 0, 1, 0, 1, 0, 0]"
20.0,<music21.chord.Chord D4 F4 F3>,"[0, 3]","[2, 5]","[2, 5]",65,53,String Quartet Op1 No6 ii C major.mid,Haydn,0,major,"[2, 5]_5",0.9388920590000001,"['D4', 'F4', 'F3']",20.0 to 20.875,"[0, 2, 4, 5]","['C4', 'D4', 'E4', 'F3', 'F4']","[1, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0]"
20.75,<music21.chord.Chord C4 E4 F3>,"[0, 4, 5]","[0, 4, 5]","[0, 4, 5]",64,53,String Quartet Op1 No6 ii C major.mid,Haydn,7,major,"[5, 9, 10]_10",0.9498515790000001,"['C4', 'E4', 'F3']",20.0 to 20.875,"[0, 2, 4, 5]","['C4', 'D4', 'E4', 'F3', 'F4']","[1, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0]"
20.875,<music21.chord.Chord C4 E4>,"[0, 4]","[0, 4]","[0, 4]",64,60,String Quartet Op1 No6 ii C major.mid,Haydn,7,major,"[5, 9]_5",0.9498515790000001,"['C4', 'E4']",20.0 to 20.875,"[0, 2, 4, 5]","['C4', 'D4', 'E4', 'F3', 'F4']","[1, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0]"
21.0,<music21.chord.Chord C4 E4 G3>,"[0, 4, 7]","[0, 4, 7]","[0, 4, 7]",64,55,String Quartet Op1 No6 ii C major.mid,Haydn,7,major,"[5, 9, 0]_0",0.9498515790000001,"['C4', 'E4', 'G3']",21.0 to 21.875,"[0, 4, 7]","['C4', 'E4', 'G3']","[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
21.875,<music21.chord.Chord C4 E4>,"[0, 4]","[0, 4]","[0, 4]",64,60,String Quartet Op1 No6 ii C major.mid,Haydn,7,major,"[5, 9]_5",0.9498515790000001,"['C4', 'E4']",21.0 to 21.875,"[0, 4, 7]","['C4', 'E4', 'G3']","[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
22.0,<music21.chord.Chord B3 D4 D3>,"[0, 3]","[11, 2]","[11, 2]",62,50,String Quartet Op1 No6 ii C major.mid,Haydn,7,major,"[4, 7]_7",0.9498515790000001,"['B3', 'D4', 'D3']",22.0 to 22.0,"[2, 11]","['B3', 'D3', 'D4']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
23.0,<music21.chord.Chord G2>,[0],[7],[7],43,43,String Quartet Op1 No6 ii C major.mid,Haydn,7,major,[0]_0,0.9498515790000001,['G2'],23.0 to 23.0,[7],['G2'],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
24.0,<music21.chord.Chord F#5>,[0],[6],[6],78,78,String Quartet Op1 No6 ii C major.mid,Haydn,7,major,[11]_11,0.9498515790000001,['F#5'],24.0 to 24.25,"[6, 7]","['F#5', 'G5']","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
24.25,<music21.chord.Chord G5>,[0],[7],[7],79,79,String Quartet Op1 No6 ii C major.mid,Haydn,7,major,[0]_0,0.9498515790000001,['G5'],24.0 to 24.25,"[6, 7]","['F#5', 'G5']","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
25.0,<music21.chord.Chord B5>,[0],[11],[11],83,83,String Quartet Op1 No6 ii C major.mid,Haydn,7,major,[4]_4,0.9498515790000001,['B5'],25.0 to 25.25,"[7, 11]","['B5', 'G5']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
25.25,<music21.chord.Chord G5>,[0],[7],[7],79,79,String Quartet Op1 No6 ii C major.mid,Haydn,7,major,[0]_0,0.9498515790000001,['G5'],25.0 to 25.25,"[7, 11]","['B5', 'G5']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
26.0,<music21.chord.Chord F#5>,[0],[6],[6],78,78,String Quartet Op1 No6 ii C major.mid,Haydn,7,major,[11]_11,0.9498515790000001,['F#5'],26.0 to 26.25,"[4, 6]","['E5', 'F#5']","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
